ID,Name,Latitude,Longitude,Georeferencing_S_N,Still_Exists_,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,apportionmentConfidence,populationToPolygonSizeRating,areaType,bufferUnits,bufferUnit,bufferRadii,populationtotals_POPDENS_CY,populationtotals_TOTPOP_CY,Generations_GENBASE_CY,F5yearincrements_MEDAGE_CY,AgeDependency_SENIOR_CY_P,presenceofchildren_HU18HWF10_P,KeyUSFacts_MEDVAL_CY,KeyUSFacts_PCI_CY,raceandhispanicorigin_WHITE_CY_P,raceandhispanicorigin_BLACK_CY_P,raceandhispanicorigin_AMERIND_CY_P,raceandhispanicorigin_ASIAN_CY_P,raceandhispanicorigin_PACIFIC_CY_P,raceandhispanicorigin_OTHRACE_CY_P,raceandhispanicorigin_RACE2UP_CY_P,raceandhispanicorigin_DIVINDX_CY,raceandhispanicorigin_RACEBASECY,Policy_TOTHU_CY,disability_ACSHHDIS_P,households_ACSHHBPOV_P,householdincome_MEDHINC_CY
2,Brick Presbyterian Churchyard,40.711613700000001,-74.006439499999999,1,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,1,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,76537.100000000005821,23157.000000000000000,23157.000000000000000,31.800000000000001,8.359999999999999,39.250000000000000,1071074.000000000000000,112296.000000000000000,60.780000000000001,6.400000000000000,0.180000000000000,20.579999999999998,0.090000000000000,2.990000000000000,9.000000000000000,65.700000000000003,23159.000000000000000,12595.000000000000000,7.780000000000000,6.670000000000000,188881.000000000000000
4,Luyster Cemetery,40.771965600000001,-73.883284599999996,2,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,2,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,707.299999999999955,214.000000000000000,214.000000000000000,34.700000000000003,13.080000000000000,60.000000000000000,937500.000000000000000,28813.000000000000000,12.619999999999999,11.680000000000000,1.870000000000000,21.500000000000000,0.000000000000000,36.920000000000002,15.890000000000001,87.900000000000006,215.000000000000000,36.000000000000000,20.829999999999998,16.670000000000002,72567.000000000000000
6,41St Street Reformed Presbyterian Church Cemetery,40.757870900000000,-73.993902800000001,3,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,3,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,90283.199999999997090,27316.000000000000000,27316.000000000000000,35.100000000000001,11.580000000000000,30.940000000000001,1207258.000000000000000,86973.000000000000000,45.899999999999999,11.480000000000000,0.480000000000000,24.449999999999999,0.450000000000000,7.440000000000000,9.800000000000001,79.200000000000003,27316.000000000000000,18825.000000000000000,16.289999999999999,10.930000000000000,97055.000000000000000
11,Attorney Street Methodist Protestant Church Burial Vaults,40.718231199999998,-73.984973199999999,4,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,4,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,95429.300000000002910,28873.000000000000000,28873.000000000000000,36.399999999999999,17.620000000000001,36.649999999999999,822133.000000000000000,55268.000000000000000,40.090000000000003,8.410000000000000,0.620000000000000,25.570000000000000,0.080000000000000,13.640000000000001,11.580000000000000,84.000000000000000,28874.000000000000000,16674.000000000000000,20.640000000000001,19.620000000000001,63301.000000000000000
15,"Fordham Manor Church Cemetery, Fordham Road",40.868631399999998,-73.900164300000000,5,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,5,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,78827.600000000005821,23850.000000000000000,23850.000000000000000,37.100000000000001,15.430000000000000,61.969999999999999,648684.000000000000000,19812.000000000000000,9.760000000000000,16.440000000000001,1.540000000000000,5.710000000000000,0.080000000000000,49.680000000000000,16.780000000000001,79.599999999999994,23851.000000000000000,8884.000000000000000,30.359999999999999,31.539999999999999,40137.000000000000000
16,"Fordham Manor Church Cemetery, Kingsbridge Road",40.862428000000001,-73.908580900000004,6,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,6,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,65507.900000000001455,19820.000000000000000,19820.000000000000000,35.399999999999999,11.750000000000000,61.689999999999998,345833.000000000000000,19358.000000000000000,9.190000000000000,19.570000000000000,1.760000000000000,3.400000000000000,0.120000000000000,50.770000000000003,15.190000000000000,79.200000000000003,19820.000000000000000,6685.000000000000000,30.180000000000000,32.859999999999999,48099.000000000000000
16,Bedford Street Methodist Church Graveyard and Vaults,40.730973599999999,-74.004121400000002,7,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,7,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,76867.699999999997090,23257.000000000000000,23257.000000000000000,34.000000000000000,12.980000000000000,32.789999999999999,1391329.000000000000000,117230.000000000000000,76.510000000000005,2.550000000000000,0.090000000000000,9.140000000000001,0.060000000000000,2.700000000000000,8.940000000000000,49.700000000000003,23258.000000000000000,16002.000000000000000,8.539999999999999,7.450000000000000,138769.000000000000000
173,"St. John's Cemetery, Greenwich Village",40.729956700000002,-74.006130999999996,8,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,8,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,58408.400000000001455,17672.000000000000000,17672.000000000000000,34.600000000000001,13.090000000000000,33.840000000000003,1385152.000000000000000,122766.000000000000000,77.060000000000002,2.340000000000000,0.070000000000000,8.740000000000000,0.050000000000000,2.700000000000000,9.029999999999999,48.700000000000003,17672.000000000000000,12638.000000000000000,9.500000000000000,6.600000000000000,141240.000000000000000
22,Westchester Methodist Church Graveyard,40.843327299999999,-73.848624500000000,9,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,9,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,34542.000000000000000,10451.000000000000000,10451.000000000000000,35.600000000000001,12.430000000000000,56.590000000000003,656793.000000000000000,27687.000000000000000,17.030000000000001,14.640000000000001,1.650000000000000,22.940000000000001,0.160000000000000,31.899999999999999,11.680000000000000,89.099999999999994,10451.000000000000000,3835.000000000000000,31.629999999999999,21.940000000000001,55951.000000000000000
5,Bergen Family Burial ground,40.652941200000001,-74.007489500000005,16,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,10,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,32879.500000000000000,9948.000000000000000,9948.000000000000000,37.000000000000000,13.010000000000000,57.899999999999999,1111111.000000000000000,36118.000000000000000,21.059999999999999,4.740000000000000,3.960000000000000,9.890000000000001,0.090000000000000,45.329999999999998,14.930000000000000,83.700000000000003,9948.000000000000000,3754.000000000000000,27.539999999999999,13.270000000000000,69330.000000000000000
